source_id,source_name,source_type,formal_partnership,platform,url,published_at,article_genre,market_category,notes,partnership_evidence_url
seed_001,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/forecasting-2025-traders-predict?_bhlid=24b78eb2413614fa8b47a396f7165d2242c62484,2025-01-06,analysis,other,Platform-owned framing post summarizing 2025 prediction-market themes,
seed_002,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/kalshi-launches-research-arm-prediction-markets,2025-12-22,press_release,economics,Platform-owned announcement about Kalshi Research and inflation-forecast claims,
seed_003,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/political-prediction-markets,2025-12-29,explainer,politics,Platform-owned explainer about reading political prediction-market probabilities,
seed_004,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/how-prediction-markets-work,2026-01-06,explainer,other,Platform-owned explainer on prediction-market mechanics and framing,
seed_005,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/arena/date/2026-03-23/segment/01,2026-03-23,transcript,geopolitics,CNN transcript that discusses Kalshi and explicitly discloses a CNN-Kalshi partnership,https://transcripts.cnn.com/show/arena/date/2026-03-23/segment/01
seed_006,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/qmb/date/2026-05-28/segment/01,2026-05-28,transcript,other,CNN transcript covering prediction-market consumer-protection debates with partnership disclosure,https://transcripts.cnn.com/show/qmb/date/2026-05-28/segment/01
seed_007,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnr/date/2026-05-30/segment/06,2026-05-30,transcript,sports,CNN transcript on sports-betting regulation and prediction markets with partnership disclosure,https://transcripts.cnn.com/show/cnr/date/2026-05-30/segment/06
seed_008,Associated Press,independent_media,0,polymarket,https://apnews.com/article/5c1daff6d27d50197ce97831ca483f95,2025-10-07,news,technology,Independent coverage of ICE investment and partnership with Polymarket,
seed_009,Associated Press,independent_media,0,multiple,https://apnews.com/article/15946a9ab492e679437d58a2f9ceb35c,2026-04-23,news,geopolitics,Independent coverage of Iran-related prediction-market activity mentioning Kalshi and Polymarket,
seed_010,Associated Press,independent_media,0,polymarket,https://apnews.com/article/350d9fe5ffefa74080ff5dd973aef48b,2026-04-08,news,geopolitics,Independent coverage of suspicious Polymarket trading around a U.S.-Iran ceasefire,
seed_011,Associated Press,independent_media,0,kalshi,https://apnews.com/article/bb7cef24be5bd0d444bba670d2e41ceb,2026-04-10,news,other,Independent coverage of litigation over Arizona regulation and Kalshi,
seed_012,Associated Press,independent_media,0,polymarket,https://apnews.com/article/774de0d21eba8bf380a68a3ca01f6aaa,2026-07-08,news,technology,Independent coverage of Polymarket's U.S. relaunch and trust-building campaign,
seed_013,Associated Press,independent_media,0,kalshi,https://apnews.com/article/trump-teleprompter-insider-trading-kalshi-ccd6d0ec68e1eb15d100ad770d91abae,2026-07-16,news,politics,Independent coverage of alleged insider-style betting on Kalshi mention markets,
seed_014,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9185-26,2026-02-25,press_release,other,Federal regulator advisory discussing enforcement issues tied to prediction markets on Kalshi,
seed_015,Arizona Attorney General,regulatory_critical,0,kalshi,https://www.azag.gov/press-release/attorney-general-mayes-charges-kalshi-illegal-gambling-operation-election-wagering,2026-03-17,press_release,other,State enforcement press release accusing Kalshi of illegal gambling and election wagering,
seed_016,New York Attorney General,regulatory_critical,0,kalshi,https://ag.ny.gov/press-release/2026/attorney-general-james-joins-bipartisan-coalition-defending-states-gambling-laws,2026-04-24,press_release,sports,State AG press release criticizing Kalshi's sports-betting model and defending state gambling laws,
seed_017,Office of Senator Jeff Merkley,regulatory_critical,0,kalshi,https://www.merkley.senate.gov/after-reports-of-3-political-candidates-trading-on-their-elections-merkley-renews-call-to-ban-election-gambling/,2026-04-22,press_release,politics,Senate press release criticizing election betting after candidate trading reports,
