source_id,source_name,source_type,formal_partnership,platform,url,published_at,article_genre,market_category,notes,partnership_evidence_url
reg_extra_001,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9193-26,2026-03-12,press_release,other,Discovered from regulatory search,
reg_extra_002,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9183-26,2026-02-17,press_release,other,Discovered from regulatory search,
reg_extra_003,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9230-26,2026-05-12,press_release,other,Discovered from regulatory search,
reg_extra_004,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9194-26,2026-03-12,press_release,other,Discovered from regulatory search,
reg_extra_005,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9219-26,2026-04-24,press_release,other,Discovered from regulatory search,
reg_extra_006,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9210-26,2026-04-10,press_release,other,Discovered from regulatory search,
reg_extra_007,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9206-26,2026-04-02,press_release,other,Discovered from regulatory search,
reg_extra_008,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9218-26,2026-04-24,press_release,other,Discovered from regulatory search,
reg_extra_009,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9208-26,2026-04-09,press_release,other,Discovered from regulatory search,
reg_extra_010,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9228-26,2026-05-08,press_release,other,Discovered from regulatory search,
reg_extra_011,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/SpeechesTestimony/phamstatement061726,2026-06-17,speech,other,Discovered from regulatory search,
reg_extra_012,CFTC,regulatory_critical,0,kalshi,https://www.cftc.gov/PressRoom/PressReleases/9199-26,2026-03-19,press_release,sports,Discovered from regulatory search,
reg_extra_013,House Oversight Committee,regulatory_critical,0,multiple,https://oversight.house.gov/release/comer-launches-investigation-into-insider-trading-on-prediction-market-platforms/,2026-05-22,press_release,other,Discovered from regulatory search,
reg_extra_014,House Financial Services Democrats,regulatory_critical,0,multiple,https://democrats-finance.house.gov/news/documentsingle.aspx?DocumentID=4138,2026-04-08,press_release,other,Discovered from regulatory search,
reg_extra_015,Representative Lois Capps,regulatory_critical,0,multiple,https://cappspress.house.gov/media/press-releases/capps-condemns-election-betting-platforms-demands-federal-action,2026-04-23,press_release,politics,Discovered from regulatory search,
reg_extra_016,Senator Bill Cassidy,regulatory_critical,0,kalshi,https://www.cassidy.senate.gov/newsroom/press-releases/cassidy-colleagues-introduce-bill-to-crack-down-on-sports-event-contracts-and-protect-americans-from-online-gambling,2026-07-16,press_release,sports,Discovered from regulatory search,
reg_extra_017,Senator John Cornyn,regulatory_critical,0,kalshi,https://www.cornyn.senate.gov/news/cornyn-cassidy-collins-introduce-bill-to-ban-online-sports-gambling/,2026-07-16,press_release,sports,Discovered from regulatory search,
reg_extra_018,Senator Ed Markey,regulatory_critical,0,kalshi,https://www.markey.senate.gov/news/press-releases/after-reports-of-3-political-candidates-trading-on-their-elections-senator-markey-calls-for-elections-gambling-ban,2026-04-24,press_release,politics,Discovered from regulatory search,
reg_extra_019,Senator Elizabeth Warren,regulatory_critical,0,kalshi,https://www.warren.senate.gov/newsroom/press-releases/warren-lawmakers-reintroduce-bill-to-ban-election-betting-urge-cftc-to-protect-democracy-from-gambling,2026-03-25,press_release,politics,Discovered from regulatory search,
reg_extra_020,Senator Tammy Baldwin,regulatory_critical,0,kalshi,https://www.baldwin.senate.gov/news/press-releases/senators-introduce-the-safe-bet-act-to-ban-online-sports-gambling,2026-07-16,press_release,sports,Discovered from regulatory search,
reg_extra_021,Senator Richard Blumenthal,regulatory_critical,0,multiple,https://www.blumenthal.senate.gov/newsroom/press/release/blumenthal-introduces-new-legislation-to-regulate-prediction-markets,2026-03-11,press_release,other,Discovered from regulatory search,
reg_extra_022,Senator Adam Schiff,regulatory_critical,0,kalshi,https://www.schiff.senate.gov/news/press-releases/news-sens-schiff-curtis-introduce-bipartisan-legislation-to-ban-sports-prediction-market-contracts/,2026-03-23,press_release,sports,Discovered from regulatory search,
reg_extra_023,Senate Commerce Committee,regulatory_critical,0,kalshi,https://www.commerce.senate.gov/press/rep/release/commerce-committee-announces-upcoming-hearing-on-sports-betting/,2026-04-30,press_release,sports,Discovered from regulatory search,
