source_id,source_name,source_type,formal_partnership,platform,url,published_at,article_genre,market_category,notes,partnership_evidence_url
ind_extra_001,The Guardian,independent_media,0,multiple,https://www.theguardian.com/us-news/2026/feb/12/kalshi-and-polymarket-prohibit-affiliates-from-spreading-election-misinformation,2026-02-12,news,politics,Discovered from independent media search,
ind_extra_002,The Guardian,independent_media,0,kalshi,https://www.theguardian.com/us-news/2026/may/19/justices-lift-rulings-barring-prediction-market-startup-kalshi-from-offering-sports-betting,2026-05-19,news,sports,Discovered from independent media search,
ind_extra_003,The Guardian,independent_media,0,multiple,https://www.theguardian.com/us-news/2026/jun/21/prediction-markets-surge-us-public-health-advocates-gambling,2026-06-21,news,other,Discovered from independent media search,
ind_extra_004,The Guardian,independent_media,0,kalshi,https://www.theguardian.com/us-news/2026/jul/16/white-house-teleprompter-operator-put-on-leave-alleged-bets-trump-speeches,2026-07-16,news,politics,Discovered from independent media search,
ind_extra_005,The Guardian,independent_media,0,multiple,https://www.theguardian.com/us-news/2026/jul/16/fda-jazz-pharmaceuticals-drug-trial-results-kalshi-polymarket,2026-07-16,news,technology,Discovered from independent media search,
ind_extra_006,Axios,independent_media,0,multiple,https://www.axios.com/2026/03/17/kalshi-polymarket-sports-betting,2026-03-17,analysis,sports,Discovered from independent media search,
ind_extra_007,Axios,independent_media,0,kalshi,https://www.axios.com/2026/07/16/teleprompter-trump-kalshi-prediction-market-bets,2026-07-16,news,politics,Discovered from independent media search,
ind_extra_008,Axios,independent_media,0,kalshi,https://www.axios.com/local/phoenix/2026/04/10/arizona-cannot-regulate-operator-kalshi,2026-04-10,news,other,Discovered from independent media search,
ind_extra_009,Business Insider,independent_media,0,kalshi,https://www.businessinsider.com/kalshi-near-billion-dollar-valuation-fundraising-round-report-2026-6,2026-06-01,news,technology,Discovered from independent media search,
ind_extra_010,Business Insider,independent_media,0,kalshi,https://www.businessinsider.com/trump-teleprompter-operator-investigation-kalshi-bets-speeches-2026-7,2026-07-16,news,politics,Discovered from independent media search,
ind_extra_011,Business Insider,independent_media,0,multiple,https://www.businessinsider.com/flight-cancellation-betting-sparks-consumer-protection-concerns-2026-7,2026-07-17,news,other,Discovered from independent media search,
ind_extra_012,Investopedia,independent_media,0,polymarket,https://www.investopedia.com/polymarket-ties-with-x-could-make-it-a-more-trusted-betting-source-11776697,2026-07-17,analysis,technology,Discovered from independent media search,
ind_extra_013,Investopedia,independent_media,0,multiple,https://www.investopedia.com/pro-trump-prediction-markets-kalshi-and-polymarket-trump-ceasefire-comments-11762459,2026-06-24,news,geopolitics,Discovered from independent media search,
ind_extra_014,Investopedia,independent_media,0,multiple,https://www.investopedia.com/bettors-believe-u-s-will-retaliate-to-iranian-missile-attacks-by-the-weekend-11758428,2026-06-20,news,geopolitics,Discovered from independent media search,
ind_extra_015,Forbes Advisor,independent_media,0,multiple,https://www.forbes.com/advisor/investing/prediction-markets/,2026-07-01,explainer,other,Discovered from independent media search,
ind_extra_016,Forbes Business Council,independent_media,0,multiple,https://www.forbes.com/councils/forbesbusinesscouncil/2026/05/05/the-rise-of-prediction-markets-in-the-usa/,2026-05-05,opinion,other,Discovered from independent media search,
ind_extra_017,Forbes,independent_media,0,multiple,https://www.forbes.com/sites/ajdhaliwal/2026/04/15/prediction-markets-are-scaling-faster-than-the-law/,2026-04-15,analysis,other,Discovered from independent media search,
ind_extra_018,Forbes,independent_media,0,kalshi,https://www.forbes.com/sites/digital-assets/2026/06/01/kalshis-ceo-wants-to-turn-every-question-into-a-market/,2026-06-01,profile,other,Discovered from independent media search,
ind_extra_019,Forbes,independent_media,0,multiple,https://www.forbes.com/sites/walterpavlo/2026/04/27/prediction-markets-first-insider-trading-case/,2026-04-27,analysis,other,Discovered from independent media search,
ind_extra_020,The Washington Post,independent_media,0,multiple,https://www.washingtonpost.com/politics/2026/06/23/why-prediction-markets-election-picks-are-useful-even-when-they-seem-wrong/,2026-06-23,analysis,politics,Discovered from independent media search,
ind_extra_021,The Washington Post,independent_media,0,kalshi,https://www.washingtonpost.com/opinions/2026/06/28/qa-with-kalshis-tarek-mansour-prediction-market-prophet//,2026-06-28,opinion,other,Discovered from independent media search,
ind_extra_022,Associated Press,independent_media,0,multiple,https://apnews.com/article/cf1fa23f126a77400a363ba920afcfbf,2026-02-17,news,other,Discovered from independent media search,
ind_extra_023,Associated Press,independent_media,0,multiple,https://apnews.com/article/823b748b446f2fccbbe760b6e60fbab3,2026-04-09,news,other,Discovered from independent media search,
ind_extra_024,Associated Press,independent_media,0,multiple,https://apnews.com/article/2ea925949a0f3f72ec46411b41344858,,news,politics,Discovered from independent media search,
ind_extra_025,Associated Press,independent_media,0,multiple,https://apnews.com/article/74047663d9ae104127948896fdfb59d9,,news,other,Discovered from independent media search,
